epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
157,5920.5,3.37974,1.41569,0.81228,0.41013,0.2445,0.28724,0.0849,3.38884,1.26666,0.79779,0.002426,0.002426,0.002426
158,5951.53,3.62638,1.41973,0.75367,0.39767,0.24125,0.2767,0.08099,3.38218,1.27086,0.78822,0.0024095,0.0024095,0.0024095
159,5989.57,3.55019,1.3981,0.79379,0.39767,0.24125,0.2767,0.08099,3.38218,1.27086,0.78822,0.002393,0.002393,0.002393
160,6023.3,3.42026,1.47781,0.84054,0.39767,0.24125,0.2767,0.08099,3.38218,1.27086,0.78822,0.0023765,0.0023765,0.0023765
161,6067.02,3.51823,1.38904,0.8092,0.39767,0.24125,0.2767,0.08099,3.38218,1.27086,0.78822,0.00236,0.00236,0.00236
162,6104.22,3.64922,1.55632,0.79142,0.39087,0.23704,0.27172,0.0791,3.39913,1.28595,0.79213,0.0023435,0.0023435,0.0023435
163,6141.48,3.52226,1.35142,0.78365,0.39087,0.23704,0.27172,0.0791,3.39913,1.28595,0.79213,0.002327,0.002327,0.002327
164,6171.85,3.81048,1.5047,0.7499,0.39087,0.23704,0.27172,0.0791,3.39913,1.28595,0.79213,0.0023105,0.0023105,0.0023105
165,6215.26,3.47349,1.31229,0.79347,0.41241,0.24449,0.28341,0.08117,3.39189,1.28382,0.79508,0.002294,0.002294,0.002294
166,6256.73,3.43519,1.39252,0.79301,0.41241,0.24449,0.28341,0.08117,3.39189,1.28382,0.79508,0.0022775,0.0022775,0.0022775
167,6300.22,3.52417,1.35792,0.78685,0.41241,0.24449,0.28341,0.08117,3.39189,1.28382,0.79508,0.002261,0.002261,0.002261
168,6335.79,3.43242,1.33719,0.79628,0.4273,0.25125,0.29672,0.08694,3.35841,1.27448,0.79028,0.0022445,0.0022445,0.0022445
169,6377.66,3.45252,1.37993,0.79806,0.4273,0.25125,0.29672,0.08694,3.35841,1.27448,0.79028,0.002228,0.002228,0.002228
170,6407.41,3.87613,1.47295,0.74848,0.4273,0.25125,0.29672,0.08694,3.35841,1.27448,0.79028,0.0022115,0.0022115,0.0022115
171,6443.31,3.34499,1.43345,0.82819,0.39213,0.23866,0.27233,0.07686,3.43493,1.30483,0.77918,0.002195,0.002195,0.002195
172,6487.29,3.43929,1.302,0.802,0.39213,0.23866,0.27233,0.07686,3.43493,1.30483,0.77918,0.0021785,0.0021785,0.0021785
173,6522.4,3.30098,1.38641,0.84612,0.39213,0.23866,0.27233,0.07686,3.43493,1.30483,0.77918,0.002162,0.002162,0.002162
174,6552.26,3.47418,1.33793,0.76882,0.39056,0.24352,0.2774,0.07947,3.4338,1.30237,0.78216,0.0021455,0.0021455,0.0021455
175,6587.74,3.63673,1.49316,0.78,0.39056,0.24352,0.2774,0.07947,3.4338,1.30237,0.78216,0.002129,0.002129,0.002129
176,6630.08,3.47662,1.41393,0.75176,0.39056,0.24352,0.2774,0.07947,3.4338,1.30237,0.78216,0.0021125,0.0021125,0.0021125
177,6662.37,3.47782,1.37764,0.77464,0.39056,0.24352,0.2774,0.07947,3.4338,1.30237,0.78216,0.002096,0.002096,0.002096
178,6693.44,3.65122,1.63158,0.77212,0.40179,0.2473,0.2855,0.08179,3.39869,1.29626,0.78542,0.0020795,0.0020795,0.0020795
179,6731.48,3.44829,1.35347,0.81058,0.40179,0.2473,0.2855,0.08179,3.39869,1.29626,0.78542,0.002063,0.002063,0.002063
180,6766.95,3.61287,1.37466,0.75744,0.40179,0.2473,0.2855,0.08179,3.39869,1.29626,0.78542,0.0020465,0.0020465,0.0020465
181,6805.44,3.28089,1.28627,0.80128,0.40267,0.24471,0.28414,0.08119,3.38954,1.29123,0.78606,0.00203,0.00203,0.00203
182,6834,3.6592,1.77644,0.83089,0.40267,0.24471,0.28414,0.08119,3.38954,1.29123,0.78606,0.0020135,0.0020135,0.0020135
183,6869.02,3.27551,1.21917,0.767,0.40267,0.24471,0.28414,0.08119,3.38954,1.29123,0.78606,0.001997,0.001997,0.001997
184,6906.6,3.4398,1.39223,0.81383,0.40717,0.24717,0.29045,0.08489,3.35755,1.28631,0.78591,0.0019805,0.0019805,0.0019805
